"date","category","value"
"2015","Dick Bond",0
"2015","Leland Tollett",0
"2015","Don Tyson",0
"2015","John Tyson",818462
"2015","Donnie Smith",156601
"2015","Noel White",103137
"2015","Donnie King",105537
"2015","James Lochner",0
"2015","Alberto Gonzalez-Pita",0
"2015","William Lovette",0
"2015","Greg Lee",0
"2015","Total",1183737
"2014","Dick Bond",0
"2014","Leland Tollett",0
"2014","Don Tyson",0
"2014","John Tyson",859129
"2014","Donnie Smith",108682
"2014","Noel White",57836
"2014","Donnie King",45872
"2014","James Lochner",41852
"2014","Alberto Gonzalez-Pita",0
"2014","William Lovette",0
"2014","Greg Lee",0
"2014","Total",1113371
"2013","Dick Bond",0
"2013","Leland Tollett",0
"2013","Don Tyson",0
"2013","John Tyson",1034505
"2013","Donnie Smith",65249
"2013","Noel White",0
"2013","Donnie King",0
"2013","James Lochner",99876
"2013","Alberto Gonzalez-Pita",0
"2013","William Lovette",0
"2013","Greg Lee",0
"2013","Total",1199630
"2012","Dick Bond",0
"2012","Leland Tollett",0
"2012","Don Tyson",0
"2012","John Tyson",860520
"2012","Donnie Smith",92480
"2012","Noel White",0
"2012","Donnie King",0
"2012","James Lochner",180619
"2012","Alberto Gonzalez-Pita",0
"2012","William Lovette",0
"2012","Greg Lee",0
"2012","Total",1133619
"2011","Dick Bond",0
"2011","Leland Tollett",0
"2011","Don Tyson",87066
"2011","John Tyson",449737
"2011","Donnie Smith",10526
"2011","Noel White",0
"2011","Donnie King",0
"2011","James Lochner",51964
"2011","Alberto Gonzalez-Pita",0
"2011","William Lovette",0
"2011","Greg Lee",0
"2011","Total",599293
"2010","Dick Bond",0
"2010","Leland Tollett",98819
"2010","Don Tyson",587523
"2010","John Tyson",341857
"2010","Donnie Smith",18730
"2010","Noel White",0
"2010","Donnie King",0
"2010","James Lochner",29341
"2010","Alberto Gonzalez-Pita",0
"2010","William Lovette",0
"2010","Greg Lee",0
"2010","Total",1076270
"2009","Dick Bond",141168
"2009","Leland Tollett",14014
"2009","Don Tyson",352968
"2009","John Tyson",203983
"2009","Donnie Smith",0
"2009","Noel White",0
"2009","Donnie King",0
"2009","James Lochner",0
"2009","Alberto Gonzalez-Pita",0
"2009","William Lovette",0
"2009","Greg Lee",0
"2009","Total",712133
"2008","Dick Bond",458069
"2008","Leland Tollett",0
"2008","Don Tyson",542571
"2008","John Tyson",325528
"2008","Donnie Smith",0
"2008","Noel White",0
"2008","Donnie King",0
"2008","James Lochner",0
"2008","Alberto Gonzalez-Pita",0
"2008","William Lovette",0
"2008","Greg Lee",0
"2008","Total",1326168
"2007","Dick Bond",341205
"2007","Leland Tollett",0
"2007","Don Tyson",0
"2007","John Tyson",394249
"2007","Donnie Smith",0
"2007","Noel White",0
"2007","Donnie King",0
"2007","James Lochner",0
"2007","Alberto Gonzalez-Pita",18852
"2007","William Lovette",21280
"2007","Greg Lee",74064
"2007","Total",849650
"2006","Dick Bond",244587
"2006","Leland Tollett",0
"2006","Don Tyson",0
"2006","John Tyson",323659
"2006","Donnie Smith",0
"2006","Noel White",0
"2006","Donnie King",0
"2006","James Lochner",0
"2006","Alberto Gonzalez-Pita",0
"2006","William Lovette",57409
"2006","Greg Lee",83396
"2006","Total",709051
"2005","Dick Bond",282708
"2005","Leland Tollett",0
"2005","Don Tyson",0
"2005","John Tyson",324472
"2005","Donnie Smith",0
"2005","Noel White",0
"2005","Donnie King",0
"2005","James Lochner",0
"2005","Alberto Gonzalez-Pita",0
"2005","William Lovette",0
"2005","Greg Lee",54000
"2005","Total",661180
